,Product_Name,Link,Product_Image,Price,Details
73,MOCK CROC MINI TOTE BAG,https://www.zara.com/in/en/mock-croc-mini-tote-bag-p16015110.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6015/110/800/3/w/448/6015110800_6_1_1.jpg?ts=1673974673278': 'Image 0 of MOCK CROC MINI TOTE BAG from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6015/110/800/3/w/448/6015110800_6_2_1.jpg?ts=1673974673013': 'Image 1 of MOCK CROC MINI TOTE BAG from Zara'}]","₹ 2,890.00",Mini tote bag in embossed animal print fabric. Inside zip pocket. Top handles and detachable and adjustable crossbody strap. Magnetic clasp closure.Height x Length x Width: 23.7 x 28.6 x 12.9 cm. / 9.3 x 11.2 x 5.0″View more
74,FABRIC TOTE BAG,https://www.zara.com/in/en/fabric-tote-bag-p16110210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6110/210/719/2/w/448/6110210719_1_1_1.jpg?ts=1692200336749': 'Image 0 of FABRIC TOTE BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6110/210/719/2/w/448/6110210719_2_1_1.jpg?ts=1692200336740': 'Image 1 of FABRIC TOTE BAG from Zara'}]","₹ 3,290.00",Tote bag in fabric. Handles and detachable crossbody shoulder strap. Zip closure.Height x Length x Width: 26.3 x 31.2 x 12.7 cm. / 10.3 x 12.2 x 5.0″
76,FABRIC MINI CITY BAG,https://www.zara.com/in/en/fabric-mini-city-bag-p16114210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6114/210/017/2/w/448/6114210017_6_1_1.jpg?ts=1692207206618': 'Image 0 of FABRIC MINI CITY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6114/210/017/2/w/448/6114210017_6_2_1.jpg?ts=1692207213314': 'Image 1 of FABRIC MINI CITY BAG from Zara'}]","₹ 2,890.00","Mini city bag in fabric. Handles and detachable crossbody shoulder strap. Zip closure.Height x Length x Width 23,7 x 28,6 x 12,9 cm. / 9.3 x 11.2 x 5.0″View more"
77,TOTE BAG WITH TOPSTITCHING,https://www.zara.com/in/en/tote-bag-with-topstitching-p16205110.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6206/110/719/2/w/448/6206110719_1_1_1.jpg?ts=1691749861774': 'Image 0 of TOTE BAG WITH TOPSTITCHING from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6206/110/719/2/w/448/6206110719_2_1_1.jpg?ts=1691749861747': 'Image 1 of TOTE BAG WITH TOPSTITCHING from Zara'}]","₹ 2,290.00",Tote bag with topstitching details. Shoulder straps. Magnetic clasp closure. Height x Length x Width 38 x 34 x 10 cm. / 14.9 x 13.3 x 3.9″
80,BACKPACK WITH FOLDOVER FLAP,https://www.zara.com/in/en/backpack-with-foldover-flap-p16069010.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6069/010/040/12/w/448/6069010040_1_1_1.jpg?ts=1672658687543': 'Image 0 of BACKPACK WITH FOLDOVER FLAP from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6069/010/040/12/w/448/6069010040_2_1_1.jpg?ts=1672658688582': 'Image 1 of BACKPACK WITH FOLDOVER FLAP from Zara'}]","₹ 2,290.00","Backpack featuring outside pockets, top carry handle and adjustable shoulder straps. Gathered and magnetic clasp closure.Height x Length x Width 29 x 26 x 16 cm. / 11.4 x 10.2 x 6.2″View more"
81,BACKPACK WITH FOLDOVER FLAP,https://www.zara.com/in/en/backpack-with-foldover-flap-p16411110.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6411/110/719/2/w/448/6411110719_6_1_1.jpg?ts=1676640214214': 'Image 0 of BACKPACK WITH FOLDOVER FLAP from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6411/110/719/2/w/448/6411110719_6_2_1.jpg?ts=1676640214707': 'Image 1 of BACKPACK WITH FOLDOVER FLAP from Zara'}]","₹ 2,290.00","Backpack with side pockets. Gathered drawstring closure and magnetic clasp on the flap. Adjustable shoulder straps and top handle. Height x Length x Width 32 x 27,7 x 17,2 cm. / 12.5 x 10.9 x 6.7″View more"
83,PEARL BEAD-SHAPED MINAUDIÈRE,https://www.zara.com/in/en/pearl-bead-shaped-minaudiere-p16131110.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6131/110/850/2/w/448/6131110850_1_1_1.jpg?ts=1676633625128': 'Image 0 of PEARL BEAD-SHAPED MINAUDIÈRE from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6131/110/850/2/w/0/6131110850_2_1_1.jpg?ts=1676633625170': 'Image 1 of PEARL BEAD-SHAPED MINAUDIÈRE from Zara'}]","₹ 3,990.00","Minaudière in the shape of a pearl bead. Rigid metal handle. Height x Length x Width 18,8 x 22,2 x 8,8 cm. / 7.4 x 8.7 x 3.4″"
84,DENIM MINI CITY BAG,https://www.zara.com/in/en/denim-mini-city-bag-p16003110.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6003/110/017/2/w/448/6003110017_1_1_1.jpg?ts=1681379761618': 'Image 0 of DENIM MINI CITY BAG from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6003/110/017/2/w/448/6003110017_2_1_1.jpg?ts=1681379761097': 'Image 1 of DENIM MINI CITY BAG from Zara'}]","₹ 2,590.00","Mini city bag in denim fabric. Top handles and long adjustable and detachable crossbody strap. Magnetic clasp closure. Height x Length x Width 13,9 x 18,8 x 8,7 cm. / 5.4 x 7.4 x 3.4″View more"
10,METALLIC STRAPLESS DRESS,https://www.zara.com/in/en/metallic-strapless-dress-p03152390.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3067/290/220/2/w/448/3067290220_1_1_1.jpg?ts=1692874441282': 'Image 0 of METALLIC STRAPLESS DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3067/290/220/2/w/448/3067290220_2_1_1.jpg?ts=1692874442284': 'Image 1 of METALLIC STRAPLESS DRESS from Zara'}]","₹ 3,990.00",Off-the-shoulder midi dress with a straight-cut neckline. Metallic fabric. Gathered details. Back slit at the hem. Invisible side zip fastening.
11,FOIL SLIP DRESS,https://www.zara.com/in/en/foil-slip-dress-p08396741.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8396/741/800/2/w/448/8396741800_1_1_1.jpg?ts=1692874441145': 'Image 0 of FOIL SLIP DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8396/741/800/2/w/448/8396741800_2_1_1.jpg?ts=1692874444399': 'Image 1 of FOIL SLIP DRESS from Zara'}]","₹ 3,990.00",Midi dress made of metallic-effect fabric. Draped neckline and thin straps. Open back. Invisible zip fastening.
